author_id,name
11593,Beatrix Potter
8164,Lewis Carroll
854076,Robert Louis Stevenson
3843,Kenneth Grahame
5158478,Anonymous
6378,Hans Christian Andersen
7799,Nathaniel Hawthorne
6989,Rudyard Kipling
4699102,Unknown
239579,Charles Dickens
3565,Oscar Wilde
1315,Louisa May Alcott
15123,Carlo Collodi
1240,Jack London
5255014,J.M. Barrie
2413,George MacDonald
184741,Joseph Jacobs
2041,Frances Hodgson Burnett
15568,Charles Kingsley
5350,L.M. Montgomery
106306,Rose Impey
775677,Edith Van Dyne
3242,L. Frank Baum
4273,Roald Dahl
49,Johanna Spyri
10665,Gertrude Chandler Warner
166852,Dinah Maria Mulock Craik
13454,Nancy Willard
10673,Eleanor H. Porter
410653,Astrid Lindgren
199175,Dorothy Canfield Fisher
237097,Eugene Bradley Coco
12452,Aesop
2938140,Jacob Grimm
84922,Helen Bannerman
6568293,Sophie May
133257,Laura Lee Hope
14765007,Robert Sabuda
8105,Kate Douglas Wiggin
2117358,Horatio Alger Jr.
53354,Neil Philip
70762,Hugh Lofting
14962,Ronne Randall
83846,Margery Williams Bianco
18393,Andrew Lang
7935185,E. Nesbit
111842,Clara Dillingham Pierson
7320,Joel Chandler Harris
321719,Carol North
62570,Heinrich Hoffmann
245159,Angela Brazil
5732,Thornton W. Burgess
12713,Roger Duvoisin
303389,Shannon Eric Denton
387955,Susan Coolidge
18700,Lucy Fitch Perkins
5799,Malvina G. Vogel
119079,Gennady Spirin
4343,Marianna Mayer
65124,Oliver Goldsmith
80122,Eliza Gatewood Warren
13834,Deidre S. Laiken
309846,Arthur Scott Bailey
106975,Howard R. Garis
167206,Caryn Jenner
432597,Chris Sasaki
111091,Annie Fellows Johnston
854031,Oliver Herford
2724,Gill Harvey
346387,Yei Theodora Ozaki
13877,Hamilton Wright Mabie
4433,Lucia Monfried
223748,Kate Greenaway
4927444,R.M. Ballantyne
6692257,Mrs. Molesworth
56143,L. Leslie Brooke
126840,Will Moses
61684,Alice Turner Curtis
736325,Lillian Elizabeth Roy
464011,Frances Trego Montgomery
16797715,Henry Hoffmann
1625,Shirley Bogart
48966,Blanche Fisher Wright
311313,Gelett Burgess
5977464,George Willard Bonte
760549,Samuel Foote
